Kod_stacji, Nazwa_stacji, Rok, Miesiac, Srednie_miesieczne_zachmurzenie_ogolne, Status_pomiaru_NOS, Srednia_miesieczna_predkosc_wiatru, Status_pomiaru_FWS, Srednia_miesieczna_temperatura, Status_pomiaru_TEMP, Srednie_miesieczne_cisnienie_pary_wodnej, Status_pomiaru_CPW, Srednia_miesieczna_wilgotnosc_wzgledna, Status_pomiaru_WLGS, Srednie_miesieczne_cisnienie_na_poziomie_stacji, Status_pomiaru_PPPS, Srednie_miesieczne_cisnienie_na_pozimie_morza, Status_pomiaru_PPPM, Suma_opadu_dzien, Status_pomiaru_WODZ, Suma_opadu_noc, Status_pomiaru_WONO
349190625,ZAKOPANE,2014,04,6.1,,1.5,,7.1,,8.3,,82.7,,915.0,,767.9,,50.0,,45.6,
349190625,ZAKOPANE,2014,05,5.5,,1.5,,10.3,,9.8,,79.7,,916.2,,778.4,,201.6,,143.9,
349190625,ZAKOPANE,2014,06,5.7,,1.3,,13.2,,11.1,,75.3,,918.7,,799.9,,49.0,,29.6,
349190625,ZAKOPANE,2014,07,5.5,,1.0,,16.0,,14.5,,81.1,,917.6,,788.9,,160.8,,78.4,
349190625,ZAKOPANE,2014,08,5.5,,1.1,,14.1,,13.1,,81.4,,917.6,,789.9,,157.7,,66.7,
349190625,ZAKOPANE,2014,09,5.5,,1.1,,11.9,,11.9,,85.4,,920.1,,813.0,,67.3,,34.7,
349190625,ZAKOPANE,2014,10,4.6,,1.3,,7.7,,8.9,,82.7,,920.5,,816.6,,56.7,,20.4,
349190625,ZAKOPANE,2014,11,5.7,,1.5,,4.6,,7.0,,80.7,,918.0,,795.2,,6.0,,12.3,
349190625,ZAKOPANE,2014,12,6.5,,1.6,,-1.1,,4.8,,81.5,,917.1,,788.6,,17.9,,14.7,
349190650,KASPROWY WIERCH,2014,01,6.3,,8.8,,-4.8,,3.8,,86.7,,791.6,,1427.7,,27.3,,43.2,
349190650,KASPROWY WIERCH,2014,02,5.9,,8.6,,-4.3,,3.8,,85.7,,793.1,,1441.1,,31.6,,50.3,
349190650,KASPROWY WIERCH,2014,03,5.0,,6.5,,-2.2,,4.0,,78.5,,796.5,,1471.6,,45.8,,57.5,
349190650,KASPROWY WIERCH,2014,04,6.5,,5.1,,-.3,,5.7,,93.4,,796.1,,1463.2,,81.0,,89.7,
349190650,KASPROWY WIERCH,2014,05,6.0,,6.7,,2.3,,6.6,,90.7,,798.2,,1480.0,,230.0,,181.4,
349190650,KASPROWY WIERCH,2014,06,6.0,,5.3,,5.4,,7.7,,86.6,,801.5,,1508.8,,77.4,,52.4,
349190650,KASPROWY WIERCH,2014,07,6.0,,5.1,,9.2,,10.4,,89.3,,802.2,,1509.0,,266.9,,136.2,
349190650,KASPROWY WIERCH,2014,08,6.0,,5.0,,7.2,,9.0,,87.6,,801.5,,1504.6,,160.4,,115.9,
349190650,KASPROWY WIERCH,2014,09,5.6,,4.6,,6.3,,7.9,,81.5,,803.1,,1523.1,,102.7,,38.5,
349190650,KASPROWY WIERCH,2014,10,4.7,,6.7,,3.0,,6.3,,80.8,,801.9,,1516.7,,66.9,,55.1,
349190650,KASPROWY WIERCH,2014,11,5.2,,7.2,,.2,,5.0,,77.7,,798.4,,1485.1,,18.3,,16.0,
349190650,KASPROWY WIERCH,2014,12,6.4,,7.8,,-5.7,,3.6,,82.8,,795.2,,1464.8,,32.8,,34.4,
349200660,NOWY S�CZ,2014,01,6.3,,2.1,,.8,,5.3,,77.9,,978.8,,1015.6,,10.0,,12.5,
349200660,NOWY S�CZ,2014,02,5.2,,1.8,,4.3,,5.8,,71.7,,978.9,,1015.2,,4.0,,19.1,
349200660,NOWY S�CZ,2014,03,4.8,,2.1,,6.7,,6.6,,70.0,,981.5,,1017.6,,23.1,,16.0,
349200660,NOWY S�CZ,2014,04,5.5,,1.7,,10.1,,9.2,,74.9,,978.9,,1014.5,,26.0,,34.9,
349200660,NOWY S�CZ,2014,05,5.0,,1.8,,13.8,,11.3,,73.9,,979.4,,1014.5,,123.1,,70.4,
349200660,NOWY S�CZ,2014,06,4.8,,1.6,,16.3,,12.5,,70.2,,981.2,,1016.1,,40.5,,34.3,
349200660,NOWY S�CZ,2014,07,4.8,,1.4,,19.7,,17.2,,77.0,,979.4,,1013.7,,110.0,,56.8,
349200660,NOWY S�CZ,2014,08,5.4,,1.3,,17.3,,15.9,,80.9,,979.8,,1014.5,,125.6,,57.8,
349200660,NOWY S�CZ,2014,09,5.1,,1.3,,14.8,,14.2,,84.3,,983.1,,1018.3,,45.0,,16.5,
349200660,NOWY S�CZ,2014,10,4.8,,1.5,,10.2,,10.9,,86.0,,984.6,,1020.3,,37.1,,8.9,
349200660,NOWY S�CZ,2014,11,.0,8,.0,8,6.9,,8.3,,82.4,,983.3,,1019.4,,.0,8,11.2,
349200660,NOWY S�CZ,2014,12,.0,8,2.1,,1.4,,5.5,,79.8,,983.0,,1019.9,,3.9,,3.4,
349210670,KROSNO,2014,01,6.8,,4.0,,-.2,,5.5,,85.0,,975.1,,1016.3,,17.2,,19.6,
349210670,KROSNO,2014,02,5.5,,3.4,,4.0,,6.1,,75.5,,975.3,,1015.9,,8.4,,17.8,
349210670,KROSNO,2014,03,4.7,,3.3,,6.7,,6.7,,70.6,,977.0,,1017.3,,28.6,,26.8,
349210670,KROSNO,2014,04,5.4,,2.8,,10.0,,9.1,,73.9,,974.6,,1014.3,,31.7,,32.0,
349210670,KROSNO,2014,05,4.9,,3.0,,13.6,,11.3,,73.9,,975.1,,1014.4,,64.0,,55.0,
349210670,KROSNO,2014,06,4.8,,2.8,,16.0,,12.2,,69.8,,976.8,,1015.7,,11.6,,41.3,
349210670,KROSNO,2014,07,4.8,,2.3,,19.5,,16.9,,76.5,,975.3,,1013.8,,85.3,,78.9,
349210670,KROSNO,2014,08,5.2,,2.4,,17.4,,15.7,,79.6,,975.6,,1014.4,,25.1,,42.8,
349210670,KROSNO,2014,09,4.4,,2.4,,14.9,,13.5,,80.0,,979.0,,1018.2,,27.2,,4.1,
349210670,KROSNO,2014,10,.0,8,2.7,,10.0,,10.7,,84.2,,980.5,,1020.5,,39.6,,10.4,
349210670,KROSNO,2014,11,.0,8,3.3,,5.7,,8.0,,85.2,,979.8,,1020.4,,3.0,,2.7,
349210670,KROSNO,2014,12,.0,8,3.6,,.4,,5.5,,84.5,,978.5,,1019.8,,9.6,,8.5,
349220690,LESKO,2014,01,6.7,,2.8,,.0,,5.4,,82.6,,964.3,,1016.6,,16.1,,16.0,
349220690,LESKO,2014,02,5.5,,2.5,,4.0,,5.9,,73.4,,964.7,,1016.2,,9.6,,24.1,
349220690,LESKO,2014,03,4.8,,2.8,,6.2,,6.4,,71.4,,966.3,,1017.5,,35.7,,26.8,
349220690,LESKO,2014,04,5.5,,2.2,,9.2,,8.8,,76.6,,964.0,,1014.5,,43.0,,17.3,
349220690,LESKO,2014,05,4.9,,2.2,,12.7,,.0,8,77.8,,964.6,,1014.5,,116.4,,69.8,
349220690,LESKO,2014,06,4.8,,2.0,,15.1,,12.4,,74.1,,966.3,,1015.9,,19.9,,30.7,
349220690,LESKO,2014,07,4.9,,1.6,,18.6,,16.7,,80.1,,965.1,,1014.0,,102.4,,40.2,
349220690,LESKO,2014,08,5.1,,1.8,,16.8,,15.4,,81.1,,965.4,,1014.6,,47.4,,45.8,
349220690,LESKO,2014,09,4.7,,1.7,,14.1,,13.2,,82.6,,968.7,,1018.6,,24.1,,33.2,
349220690,LESKO,2014,10,4.4,,2.1,,9.7,,10.3,,84.3,,970.0,,1020.7,,52.5,,12.0,
349220690,LESKO,2014,11,5.6,,2.0,,5.4,,7.7,,84.6,,969.2,,1020.8,,3.7,,11.5,
349220690,LESKO,2014,12,6.2,,2.9,,.3,,5.4,,83.2,,967.6,,1020.0,,17.9,,10.6,
350150500,JELENIA G�RA,2014,01,6.4,,3.0,,.0,,5.4,,84.0,,970.6,,1013.2,,10.0,,15.1,
350150500,JELENIA G�RA,2014,02,4.8,,2.7,,2.9,,5.5,,74.0,,969.9,,1012.1,,.1,,3.0,
350150500,JELENIA G�RA,2014,03,4.8,,2.7,,5.8,,6.6,,75.1,,975.8,,1017.8,,43.3,,35.0,
350150500,JELENIA G�RA,2014,04,6.1,,2.3,,9.3,,9.2,,79.2,,973.6,,1015.0,,31.9,,27.2,
350150500,JELENIA G�RA,2014,05,6.1,,2.8,,12.0,,10.9,,78.3,,974.4,,1015.4,,80.5,,41.2,
350150500,JELENIA G�RA,2014,06,5.6,,2.1,,15.2,,12.5,,74.9,,976.4,,1017.0,,25.9,,37.7,
350150500,JELENIA G�RA,2014,07,5.4,,1.8,,19.1,,17.0,,79.1,,973.8,,1013.7,,91.3,,93.3,
350150500,JELENIA G�RA,2014,08,5.8,,1.9,,15.7,,14.5,,82.1,,973.7,,1014.1,,33.0,,39.7,
350150500,JELENIA G�RA,2014,09,6.1,,2.0,,13.8,,14.3,,90.3,,977.6,,1018.5,,35.1,,80.1,
350150500,JELENIA G�RA,2014,10,5.3,,2.0,,10.0,,10.9,,86.3,,977.5,,1018.9,,19.0,,42.4,
350150500,JELENIA G�RA,2014,11,6.0,,2.7,,6.0,,8.1,,85.0,,974.7,,1016.6,,5.1,,4.0,
350150500,JELENIA G�RA,2014,12,6.8,,3.5,,1.9,,5.9,,80.9,,976.1,,1018.7,,5.8,,13.8,
350150510,�NIE�KA,2014,01,6.7,,11.8,,-4.2,,4.1,,87.3,,827.3,,1400.4,,16.8,,22.0,
350150510,�NIE�KA,2014,02,6.1,,13.0,,-3.9,,4.1,,90.1,,827.9,,1405.2,,6.2,,12.7,
350150510,�NIE�KA,2014,03,5.1,,12.3,,-.2,,4.2,,73.6,,834.0,,1461.6,,29.2,,34.1,
350150510,�NIE�KA,2014,04,6.5,,10.3,,1.9,,6.6,,91.5,,833.8,,1457.8,,26.5,,22.6,
350150510,�NIE�KA,2014,05,6.7,,10.4,,3.4,,7.5,,93.6,,835.0,,1469.3,,64.0,,56.8,
350150510,�NIE�KA,2014,06,6.1,,8.5,,6.9,,8.3,,84.4,,838.7,,1503.8,,34.1,,38.9,
350150510,�NIE�KA,2014,07,5.9,,7.0,,11.3,,11.5,,85.8,,838.7,,1501.6,,57.7,,70.2,
350150510,�NIE�KA,2014,08,6.3,,7.2,,7.7,,9.7,,90.4,,836.9,,1485.7,,60.0,,35.8,
350150510,�NIE�KA,2014,09,6.4,,9.9,,7.5,,9.3,,88.9,,839.8,,1514.2,,33.3,,61.4,
350150510,�NIE�KA,2014,10,5.6,,10.7,,4.9,,7.3,,83.3,,838.3,,1500.4,,21.2,,32.4,
350150510,�NIE�KA,2014,11,5.5,,10.3,,2.0,,5.6,,79.5,,834.0,,1459.7,,19.4,,14.5,
350150510,�NIE�KA,2014,12,7.1,,14.8,,-5.0,,4.2,,92.8,,831.5,,1440.3,,55.2,,62.0,
350160520,K�ODZKO,2014,01,6.8,,3.9,,.1,,5.6,,86.2,,969.8,,1014.2,,6.4,,15.2,
350160520,K�ODZKO,2014,02,5.0,,5.2,,2.9,,5.9,,77.9,,969.5,,1013.4,,1.6,,1.0,
350160520,K�ODZKO,2014,03,5.0,,2.9,,5.9,,6.8,,75.0,,974.3,,1017.9,,23.1,,16.1,
350160520,K�ODZKO,2014,04,5.9,,2.2,,9.1,,9.3,,79.7,,972.0,,1014.9,,26.9,,5.5,
350160520,K�ODZKO,2014,05,5.7,,3.1,,11.8,,11.0,,79.4,,972.7,,1015.3,,61.9,,43.1,
350160520,K�ODZKO,2014,06,5.3,,2.0,,14.9,,12.5,,75.4,,974.7,,1016.9,,19.1,,28.8,
350160520,K�ODZKO,2014,07,5.0,,2.1,,19.2,,16.5,,76.2,,972.1,,1013.6,,59.7,,38.5,
350160520,K�ODZKO,2014,08,5.5,,2.3,,16.0,,14.5,,80.5,,972.4,,1014.3,,71.8,,9.1,
350160520,K�ODZKO,2014,09,5.9,,2.1,,14.1,,13.9,,86.4,,976.0,,1018.4,,29.5,,63.1,
350160520,K�ODZKO,2014,10,5.5,,2.9,,10.0,,10.8,,85.6,,976.5,,1019.5,,7.2,,33.2,
350160520,K�ODZKO,2014,11,6.6,,3.3,,6.3,,8.6,,87.5,,973.9,,1017.4,,5.1,,8.4,
350160520,K�ODZKO,2014,12,7.0,,4.0,,1.3,,6.0,,85.0,,975.1,,1019.4,,3.2,,12.9,
350170530,OPOLE,2014,01,6.6,,3.2,,.9,,6.0,,86.4,,993.7,,1014.2,,12.5,,23.1,
350170530,OPOLE,2014,02,5.1,,3.0,,4.5,,6.5,,77.7,,993.1,,1013.3,,1.5,,2.0,
350170530,OPOLE,2014,03,4.6,,2.6,,7.1,,7.3,,74.7,,997.2,,1017.3,,10.2,,14.4,
350170530,OPOLE,2014,04,5.5,,2.3,,11.1,,9.9,,75.6,,994.6,,1014.3,,39.2,,5.6,
350170530,OPOLE,2014,05,5.6,,2.4,,13.8,,12.0,,77.4,,995.2,,1014.8,,60.5,,21.6,
350170530,OPOLE,2014,06,5.1,,1.9,,16.7,,13.3,,72.9,,996.8,,1016.2,,43.1,,37.6,
350170530,OPOLE,2014,07,4.6,,2.0,,21.2,,17.8,,73.4,,994.1,,1013.2,,63.9,,48.1,
350170530,OPOLE,2014,08,5.7,,1.9,,18.0,,15.8,,78.0,,994.5,,1013.8,,20.5,,13.9,
350170530,OPOLE,2014,09,5.1,,1.9,,15.7,,14.9,,83.5,,998.3,,1017.8,,17.5,,79.1,
350170530,OPOLE,2014,10,5.0,,2.2,,11.3,,11.5,,83.7,,999.3,,1019.2,,17.7,,35.6,
350170530,OPOLE,2014,11,6.4,,2.8,,7.3,,8.8,,84.6,,997.7,,1017.8,,7.6,,6.5,
350170530,OPOLE,2014,12,6.8,,3.0,,2.0,,6.0,,81.4,,998.4,,1018.9,,4.8,,7.9,
350180540,RACIB�RZ,2014,01,6.5,,3.3,,.6,,5.9,,86.7,,989.0,,1014.9,,7.0,,14.3,
350180540,RACIB�RZ,2014,02,4.9,,3.2,,4.0,,6.5,,80.6,,988.7,,1014.2,,13.5,,2.8,
350180540,RACIB�RZ,2014,03,4.5,,3.1,,6.9,,7.2,,74.7,,992.3,,1017.6,,11.6,,11.5,
350180540,RACIB�RZ,2014,04,5.3,,2.8,,10.8,,9.7,,76.0,,989.5,,1014.5,,23.5,,3.5,
350180540,RACIB�RZ,2014,05,5.3,,3.4,,.0,8,.0,8,.0,8,990.2,,.0,8,82.8,,54.3,
350180540,RACIB�RZ,2014,06,4.8,,2.8,,16.3,,13.2,,73.1,,992.0,,1016.5,,29.8,,45.3,
350180540,RACIB�RZ,2014,07,4.4,,2.4,,20.4,,17.0,,73.7,,989.3,,1013.5,,34.4,,23.9,
350180540,RACIB�RZ,2014,08,5.3,,2.5,,17.4,,15.8,,80.7,,989.9,,1014.3,,43.3,,48.9,
350180540,RACIB�RZ,2014,09,5.2,,2.5,,15.5,,15.0,,85.4,,993.4,,1018.0,,33.6,,93.0,
350180540,RACIB�RZ,2014,10,4.9,,2.5,,11.1,,11.8,,87.6,,994.6,,1019.7,,16.1,,19.1,
350180540,RACIB�RZ,2014,11,.0,8,2.7,,7.1,,9.0,,87.0,,992.9,,1018.2,,14.1,,3.8,
350180540,RACIB�RZ,2014,12,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8
350190550,CZ�STOCHOWA,2014,01,6.8,,2.8,,-.8,,5.4,,86.4,,978.0,,1014.9,,14.0,,26.5,
350190550,CZ�STOCHOWA,2014,02,5.0,,2.4,,3.4,,6.0,,77.5,,977.6,,1013.8,,6.1,,4.2,
350190550,CZ�STOCHOWA,2014,03,5.0,,2.6,,6.6,,6.5,,69.3,,981.2,,1017.1,,15.0,,24.1,
350190550,CZ�STOCHOWA,2014,04,5.6,,2.4,,10.3,,8.8,,70.8,,978.9,,1014.3,,21.6,,21.0,
350190550,CZ�STOCHOWA,2014,05,5.7,,2.3,,13.6,,11.2,,72.9,,979.6,,1014.6,,88.9,,41.9,
350190550,CZ�STOCHOWA,2014,06,5.3,,2.4,,16.4,,12.5,,67.9,,981.2,,1015.8,,54.1,,47.3,
350190550,CZ�STOCHOWA,2014,07,4.8,,2.2,,21.0,,16.5,,67.0,,979.2,,1013.2,,64.6,,48.2,
350190550,CZ�STOCHOWA,2014,08,5.6,,1.8,,17.4,,14.9,,75.8,,979.3,,1013.8,,40.4,,88.3,
350190550,CZ�STOCHOWA,2014,09,5.0,,2.0,,14.9,,13.9,,81.5,,983.1,,1018.0,,8.7,,57.0,
350190550,CZ�STOCHOWA,2014,10,.0,8,2.0,,10.4,,11.1,,85.6,,983.9,,1019.6,,19.8,,14.4,
350190550,CZ�STOCHOWA,2014,11,.0,8,2.4,,6.1,,.0,8,.0,8,982.5,,1018.7,,18.8,,10.5,
350190550,CZ�STOCHOWA,2014,12,.0,8,2.9,,1.0,,.0,8,.0,8,982.0,,1018.9,,7.1,,17.2,
350190560,KATOWICE,2014,01,7.0,,3.1,,-.2,,5.7,,87.7,,980.1,,1015.1,,11.8,,24.1,
350190560,KATOWICE,2014,02,5.1,,2.3,,3.4,,6.2,,79.9,,979.9,,1014.4,,14.7,,3.3,
350190560,KATOWICE,2014,03,4.7,,2.5,,6.8,,6.7,,70.3,,983.2,,1017.4,,23.0,,26.9,
350190560,KATOWICE,2014,04,5.4,,2.5,,10.5,,9.1,,72.8,,980.7,,1014.4,,41.8,,13.2,
350190560,KATOWICE,2014,05,5.5,,2.0,,13.4,,11.2,,74.0,,981.4,,1014.7,,37.1,,49.8,
350190560,KATOWICE,2014,06,5.2,,1.8,,16.0,,12.4,,70.8,,983.1,,1016.2,,58.6,,47.5,
350190560,KATOWICE,2014,07,5.0,,1.9,,20.3,,16.8,,72.7,,980.9,,1013.4,,43.2,,24.7,
350190560,KATOWICE,2014,08,5.5,,2.1,,17.1,,15.3,,79.0,,981.4,,1014.2,,68.1,,45.8,
350190560,KATOWICE,2014,09,4.9,,2.1,,15.1,,14.0,,82.0,,984.8,,1018.0,,20.6,,56.3,
350190560,KATOWICE,2014,10,5.1,,2.0,,10.2,,11.1,,87.0,,986.0,,1019.8,,20.4,,19.2,
350190560,KATOWICE,2014,11,6.6,,2.7,,6.5,,8.5,,85.8,,984.4,,1018.6,,15.7,,16.7,
350190560,KATOWICE,2014,12,6.8,,3.4,,1.4,,5.7,,81.1,,984.5,,1019.4,,7.5,,19.4,
350190566,KRAK�W-BALICE,2014,01,6.9,,4.0,,-1.2,,5.5,,91.2,,985.1,,1015.4,,8.1,,30.1,
350190566,KRAK�W-BALICE,2014,02,5.0,,2.5,,2.2,,6.1,,85.2,,984.8,,1014.7,,13.2,,5.0,
350190566,KRAK�W-BALICE,2014,03,4.8,,3.8,,6.6,,6.9,,73.5,,987.8,,1017.4,,19.0,,12.2,
350190566,KRAK�W-BALICE,2014,04,5.0,,3.3,,10.3,,9.5,,76.2,,985.2,,1014.3,,18.9,,20.4,
350190566,KRAK�W-BALICE,2014,05,5.0,,2.9,,13.9,,11.7,,74.1,,985.6,,1014.4,,61.4,,48.8,
350190566,KRAK�W-BALICE,2014,06,4.7,,2.6,,16.3,,13.0,,72.1,,987.4,,1016.0,,34.3,,29.7,
350190566,KRAK�W-BALICE,2014,07,4.7,,2.4,,20.4,,17.1,,73.8,,985.3,,1013.4,,41.5,,35.5,
350190566,KRAK�W-BALICE,2014,08,5.0,,2.2,,17.5,,15.4,,77.7,,985.8,,1014.2,,56.3,,34.8,
350190566,KRAK�W-BALICE,2014,09,4.6,,2.8,,15.1,,13.9,,81.1,,989.2,,1018.0,,21.9,,45.2,
350190566,KRAK�W-BALICE,2014,10,5.3,,2.4,,9.6,,10.8,,87.5,,990.6,,1020.0,,20.4,,11.5,
350190566,KRAK�W-BALICE,2014,11,6.6,,2.9,,6.0,,8.4,,87.3,,989.3,,1019.0,,11.9,,23.2,
350190566,KRAK�W-BALICE,2014,12,6.8,,4.2,,1.1,,5.7,,82.7,,989.2,,1019.4,,7.4,,16.2,
350200570,KIELCE-SUK�W,2014,01,7.2,,3.2,,-2.0,,5.3,,90.8,,983.1,,1016.0,,16.2,,33.1,
350200570,KIELCE-SUK�W,2014,02,5.2,,2.1,,1.2,,5.8,,85.7,,982.7,,1015.1,,12.6,,8.6,
350200570,KIELCE-SUK�W,2014,03,5.0,,2.8,,5.7,,6.9,,78.3,,985.3,,1017.3,,29.3,,29.3,
350200570,KIELCE-SUK�W,2014,04,5.4,,2.6,,9.7,,9.4,,78.0,,983.1,,1014.6,,16.4,,19.1,
350200570,KIELCE-SUK�W,2014,05,5.4,,2.8,,13.3,,12.0,,78.5,,983.4,,1014.5,,85.8,,36.3,
350200570,KIELCE-SUK�W,2014,06,5.3,,2.4,,15.5,,13.0,,76.0,,984.8,,1015.7,,39.5,,32.7,
350200570,KIELCE-SUK�W,2014,07,5.1,,2.3,,19.8,,17.4,,77.3,,983.4,,1013.8,,105.7,,57.2,
350200570,KIELCE-SUK�W,2014,08,5.6,,1.9,,17.1,,15.7,,81.6,,983.3,,1013.9,,61.0,,33.4,
350200570,KIELCE-SUK�W,2014,09,5.1,,2.2,,14.3,,13.3,,81.9,,987.2,,1018.3,,22.6,,10.9,
350200570,KIELCE-SUK�W,2014,10,5.2,,2.1,,9.0,,10.6,,88.8,,988.5,,1020.2,,25.0,,12.3,
350200570,KIELCE-SUK�W,2014,11,6.6,,2.5,,5.0,,8.2,,90.7,,987.7,,1019.9,,8.8,,19.4,
350200570,KIELCE-SUK�W,2014,12,7.2,,3.3,,.5,,5.8,,87.3,,986.2,,1018.8,,16.7,,20.7,
350200575,TARN�W,2014,01,6.7,,2.4,,.4,,5.6,,83.9,,989.4,,1015.6,,12.1,,13.5,
350200575,TARN�W,2014,02,5.1,,1.8,,4.5,,6.3,,75.2,,989.1,,1014.9,,4.0,,14.5,
350200575,TARN�W,2014,03,4.7,,1.9,,7.0,,7.0,,73.4,,991.6,,1017.3,,34.8,,24.1,
350200575,TARN�W,2014,04,5.4,,1.7,,10.8,,9.7,,75.2,,989.1,,1014.2,,22.3,,37.7,
350200575,TARN�W,2014,05,4.9,,1.8,,14.5,,11.8,,73.1,,989.4,,1014.2,,60.5,,63.4,
350200575,TARN�W,2014,06,4.7,,1.4,,16.5,,12.8,,71.2,,991.0,,1015.7,,30.9,,30.3,
350200575,TARN�W,2014,07,4.6,,1.5,,20.4,,17.2,,74.3,,989.1,,1013.5,,98.4,,113.0,
350200575,TARN�W,2014,08,5.0,,1.1,,17.8,,15.9,,78.9,,989.5,,1014.1,,69.2,,60.3,
350200575,TARN�W,2014,09,4.5,,1.4,,15.3,,13.9,,80.4,,993.1,,1018.0,,47.3,,21.2,
350200575,TARN�W,2014,10,5.1,,1.4,,10.2,,10.9,,85.2,,994.7,,1020.1,,29.5,,21.1,
350200575,TARN�W,2014,11,.0,8,2.1,,6.7,,8.3,,82.8,,993.8,,1019.5,,6.8,,6.7,
350200575,TARN�W,2014,12,.0,8,.0,8,1.6,,5.6,,79.4,,993.1,,1019.3,,.0,8,12.1,
350210585,SANDOMIERZ,2014,01,6.8,,3.8,,-1.9,,5.3,,90.4,,988.8,,1016.4,,12.0,,42.1,
350210585,SANDOMIERZ,2014,02,5.0,,3.0,,1.7,,6.1,,85.7,,988.2,,1015.5,,5.1,,7.2,
350210585,SANDOMIERZ,2014,03,4.7,,3.3,,6.9,,7.2,,74.7,,990.2,,1017.0,,23.2,,14.0,
350210585,SANDOMIERZ,2014,04,5.3,,2.9,,10.3,,9.8,,77.3,,988.1,,1014.5,,25.2,,8.1,
350210585,SANDOMIERZ,2014,05,4.8,,3.1,,14.1,,12.4,,78.1,,988.2,,1014.3,,93.4,,60.5,
350210585,SANDOMIERZ,2014,06,4.8,,2.8,,16.5,,13.9,,75.4,,989.4,,1015.3,,30.8,,26.2,
350210585,SANDOMIERZ,2014,07,4.7,,2.6,,20.5,,17.8,,75.5,,988.2,,1013.7,,25.3,,48.8,
350210585,SANDOMIERZ,2014,08,5.0,,2.5,,17.9,,16.3,,80.5,,988.1,,1013.8,,38.8,,48.4,
350210585,SANDOMIERZ,2014,09,4.0,,2.6,,14.9,,13.4,,79.3,,992.2,,1018.3,,24.8,,17.0,
350210585,SANDOMIERZ,2014,10,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8,.0,8
350210585,SANDOMIERZ,2014,11,.0,8,3.0,,5.0,,8.0,,88.6,,993.4,,1020.5,,1.3,,5.2,
350210585,SANDOMIERZ,2014,12,.0,8,3.6,,.5,,5.7,,86.0,,991.3,,1018.8,,8.1,,11.7,
350220580,RZESZ�W-JASIONKA,2014,01,6.9,,4.9,,-.6,,5.6,,87.7,,989.8,,1016.6,,12.2,,18.6,
350220580,RZESZ�W-JASIONKA,2014,02,5.2,,3.7,,2.1,,6.3,,85.9,,989.5,,1016.0,,4.0,,12.9,
350220580,RZESZ�W-JASIONKA,2014,03,4.8,,3.9,,6.8,,7.0,,73.5,,991.2,,1017.2,,27.6,,21.1,
